Comprehensive Processed Phrases - za_bank_positive_comprehensive_processed_phrases.txt
'card very easy' (frequency: 3)
'patch, everything works' (frequency: 3)
'micro animation looks' (frequency: 3)
'took a while' (frequency: 3)
'from overseas, took' (frequency: 3)
'overseas chinese good' (frequency: 3)
'excellent very nice' (frequency: 3)
'was smooth except' (frequency: 3)
'refresh look from' (frequency: 3)
'good 👍 easy' (frequency: 3)
'active so easy' (frequency: 3)
'easy very easy' (frequency: 3)
'nice very nice' (frequency: 3)
'took 3 days' (frequency: 3)
'fantastic on every' (frequency: 3)
'verrygood easy and' (frequency: 3)
'good so far' (frequency: 3)
'easy and good' (frequency: 3)
'easy of use' (frequency: 3)
'also a good' (frequency: 3)
'journey and great' (frequency: 3)
'took 1 week' (frequency: 3)
'very easy to navigate' (frequency: 2)
'use very nice' (frequency: 2)
'easy and convenient to' (frequency: 2)
'very good works' (frequency: 2)
'good its awesome' (frequency: 2)
'easy to talk' (frequency: 2)
'please nice very' (frequency: 2)
'great so far' (frequency: 2)
'it’s pretty easy' (frequency: 2)
'online simple, easy' (frequency: 2)
'opening with good' (frequency: 2)
's fantastic ✅' (frequency: 2)
'it’s also great' (frequency: 2)
'alternative convenient way' (frequency: 2)
'good and interesting' (frequency: 2)
'super user friendly' (frequency: 2)
'great reminder for' (frequency: 2)
'user friendly journey,' (frequency: 2)
'helpful hotline clerk' (frequency: 2)
'promotions very good' (frequency: 2)
'very convenient, excellent' (frequency: 2)
'convenient, excellent experience' (frequency: 2)
'speechless ; convenient' (frequency: 2)
'is awesome good' (frequency: 2)
'awesome good experience' (frequency: 2)
'is user friendly,' (frequency: 2)
'/ good efficient' (frequency: 2)
'good efficient great' (frequency: 2)
'so convenient😘🙏 best' (frequency: 2)
'easy and simple' (frequency: 2)
'is great thank' (frequency: 2)
'outstanding easy efficienct' (frequency: 2)
'good verrygood easy' (frequency: 2)
'very good 👍' (frequency: 2)
'good they give' (frequency: 2)
'very convenient amazing' (frequency: 2)
'good good 🥰🥰' (frequency: 2)
'good 🥰🥰 thank' (frequency: 2)
'very good overall' (frequency: 2)
'works pretty well' (frequency: 2)
'far still good' (frequency: 2)
'still good virtual' (frequency: 2)
'wonderful team and' (frequency: 2)
'gunakan very good' (frequency: 2)
'use very good' (frequency: 2)
'than adequate satisfied' (frequency: 2)
'best is good' (frequency: 2)
'bongga very nice' (frequency: 2)
's really amazing' (frequency: 2)
'very good best' (frequency: 2)
'very good😍 thank' (frequency: 2)
'use, user friendly' (frequency: 2)
'very smooth, user' (frequency: 2)
'smooth, user friendly' (frequency: 2)
'good using anytime' (frequency: 2)
'excellent very useful' (frequency: 2)
', great follow' (frequency: 2)
'good they save' (frequency: 2)
'so good, easy' (frequency: 2)
'use very easy' (frequency: 2)
'excellent so far' (frequency: 2)
'nice thanks excellent' (frequency: 2)
'user friendly platform' (frequency: 2)
'efficient, and reliable' (frequency: 2)
'great excellent very' (frequency: 2)
'love how easy' (frequency: 2)
'easy-to-use nice job' (frequency: 2)
'us3 great experience' (frequency: 2)
'good reviews for' (frequency: 2)
'its benefits great' (frequency: 2)
'up pretty smooth' (frequency: 2)
'smooth operation and' (frequency: 2)
'operation and easy' (frequency: 2)
'neat, stable, perfect' (frequency: 2)
'hong kong good' (frequency: 2)
'seem user friendly,' (frequency: 2)
'user friendly, but' (frequency: 2)
'smooth except for' (frequency: 2)
'excellent its impressive' (frequency: 2)
'great experience for' (frequency: 2)
'doing great job' (frequency: 2)
'easy, plain and' (frequency: 2)
'great if you’re' (frequency: 2)
'far greater than' (frequency: 2)
'credit cards took' (frequency: 2)
'offers a great' (frequency: 2)
'it’s a good' (frequency: 2)
'good and safe' (frequency: 2)
'good saving interest' (frequency: 2)
'user friendly, also' (frequency: 2)
'everything is good' (frequency: 2)
'good team cuz' (frequency: 2)
'perfect for tech-savvy' (frequency: 2)
': / good' (frequency: 2)
'salute 🫡🫡🫡 good' (frequency: 2)
'good its fantastic' (frequency: 2)
'its fantastic 😊😊😊😊' (frequency: 2)
'best good great' (frequency: 2)
's really great' (frequency: 2)
'za is great' (frequency: 2)
'easy efficienct good' (frequency: 2)
'amazingly good good' (frequency: 2)
'aps is helpful' (frequency: 2)
'is helpful good' (frequency: 2)
'very useful great' (frequency: 2)
'good great mind' (frequency: 2)
'great mind very' (frequency: 2)
'excellent good great' (frequency: 2)
'use and fantastic' (frequency: 2)
'overall it works' (frequency: 2)
'it works pretty' (frequency: 2)
'nice good very' (frequency: 2)
'this great 👍' (frequency: 2)
'great 👍 easy' (frequency: 2)
'👍 easy access' (frequency: 2)
'so far nice' (frequency: 2)
'really amazing 👏' (frequency: 2)
'amazing 👏 very' (frequency: 2)
'👏 very easy' (frequency: 2)
'good trusted &' (frequency: 2)
's so convenient' (frequency: 2)
'very nice &' (frequency: 2)
'nice & good' (frequency: 2)
'great experience 1st' (frequency: 2)
'good excellent nice' (frequency: 2)
'efficient and good' (frequency: 2)
'best good best' (frequency: 2)
'good both card' (frequency: 2)
'so easy tranfer' (frequency: 2)
'excellent easy and' (frequency: 2)
'really a nice' (frequency: 2)
'great can help' (frequency: 2)
'excellent very good' (frequency: 2)
'very nice best' (frequency: 2)
'smart and easy' (frequency: 2)
'nice works well,' (frequency: 2)
'works well, better' (frequency: 2)
'take it easy' (frequency: 2)
'easy and worked' (frequency: 2)
'so good best' (frequency: 2)
'helpful and responsive' (frequency: 2)
'it good news' (frequency: 2)
'good and trust' (frequency: 2)
'ok hi until' (frequency: 2)
'useful and helpful' (frequency: 2)
'good to invest' (frequency: 2)
'好 is very smooth' (frequency: 1)
'efficient and user friendly' (frequency: 1)
'good experience in using' (frequency: 1)
'experience is good' (frequency: 1)
'impressed with the great' (frequency: 1)
'it’s amazing ,' (frequency: 1)
', and so easy' (frequency: 1)
'interest good job' (frequency: 1)
'definitely a user friendly' (frequency: 1)
'very good No need to open the PC anymore' (frequency: 1)
'good no longer need to open the pc' (frequency: 1)
'great and the rebate' (frequency: 1)
'you’re uncomfortable with' (frequency: 1)
'greater than those credit' (frequency: 1)
'took pride of its' (frequency: 1)
'provides an alternative convenient' (frequency: 1)
'members are so helpful' (frequency: 1)
'非常好用 is it alright' (frequency: 1)
'easy and convenient very' (frequency: 1)
'Instant replies, with no lag and completely smooth easy' (frequency: 1)
'nice fintech one' (frequency: 1)
'life very convenient' (frequency: 1)
'Instant replies, no lag, and completely smooth—easy and convenient.' (frequency: 1)
'is a user friendly' (frequency: 1)
'export later amazing' (frequency: 1)
'very helpful hotline' (frequency: 1)
'friendly and nice' (frequency: 1)
'very convenient virtual' (frequency: 1)
'looking forward to their' (frequency: 1)
'experience is very decent' (frequency: 1)
'works with all major' (frequency: 1)
'opening and very easy' (frequency: 1)
'is easy to navigate' (frequency: 1)
'easy to navigate three' (frequency: 1)
'card is very helpful' (frequency: 1)
'Simple and easy to use very convenient' (frequency: 1)
'Introduce to relatives and friends. Simple and easy to use, very convenient.' (frequency: 1)
'from easy fund' (frequency: 1)
'recommend for anyone looking' (frequency: 1)
'looking for hassle-free' (frequency: 1)
'user friendly, top' (frequency: 1)
'excellent it work' (frequency: 1)
'experience good safety' (frequency: 1)
'easy to do online' (frequency: 1)
'🫡🫡🫡 good best' (frequency: 1)
'good best &' (frequency: 1)
'& convenient 🤘🤘' (frequency: 1)
'🤘🤘 good best' (frequency: 1)
'works perfectly 👍👍👍' (frequency: 1)
'os the best good' (frequency: 1)
's good is the' (frequency: 1)
'good is the best' (frequency: 1)
'👍 easy and' (frequency: 1)
'love it good' (frequency: 1)
'good wanted to say' (frequency: 1)
'efficienct good 😊👍👍👍👍👍 very' (frequency: 1)
'good 😊👍👍👍👍👍 very helpful' (frequency: 1)
'=d very convenient' (frequency: 1)
'easy and safe' (frequency: 1)
'ease of use amazingly' (frequency: 1)
'good good virtual' (frequency: 1)
'useful great good' (frequency: 1)
's good they' (frequency: 1)
'mind very convenient' (frequency: 1)
'amazing easy to setup' (frequency: 1)
'easy to setup and' (frequency: 1)
'are good incentives' (frequency: 1)
'is reliable goodexperience' (frequency: 1)
'feel it is good' (frequency: 1)
'good great amazing' (frequency: 1)
'good best ever' (frequency: 1)
'❤❤❤❤❤ very nice very' (frequency: 1)
'🥰🥰🥰 convenient, flexible,' (frequency: 1)
'also very user friendly' (frequency: 1)
'useful good nice' (frequency: 1)
'thanks for this great' (frequency: 1)
'good 👍 convenient' (frequency: 1)
'use more than adequate' (frequency: 1)
'good 使用za card' (frequency: 1)
'a+ great bongga' (frequency: 1)
'and easy to navigate' (frequency: 1)
'amazing easy and' (frequency: 1)
'convenient it is good' (frequency: 1)
'💖 convenient and' (frequency: 1)
'excelent user friendly' (frequency: 1)
'good absolutely 5 stars' (frequency: 1)
'！ very good😍' (frequency: 1)
'za is very smooth,' (frequency: 1)
'& good using' (frequency: 1)
'is the best sogood' (frequency: 1)
'it, but overall great' (frequency: 1)
'👍 amazing tɧaŋk' (frequency: 1)
'good troubles with using za card: 1' (frequency: 1)
'up good good' (frequency: 1)
'thanks the best good' (frequency: 1)
'good vgood good' (frequency: 1)
'concepts great to have' (frequency: 1)
'easy simple, easy' (frequency: 1)
'so nice thanks' (frequency: 1)
'👌 good its' (frequency: 1)
'how user-friendly and' (frequency: 1)
'user in mind good' (frequency: 1)
'can help excellent' (frequency: 1)
'very good virtual' (frequency: 1)
'like it amazing' (frequency: 1)
'nice best virtual' (frequency: 1)
'kong very user friendly' (frequency: 1)
'beginner good exceptional' (frequency: 1)
'easy way to us3' (frequency: 1)
'way to us3 great' (frequency: 1)
'👍👌👍 very nice' (frequency: 1)
'efficient and convenient' (frequency: 1)
'it easy user' (frequency: 1)
'looking very secure' (frequency: 1)
'great cashback so far' (frequency: 1)
'user-friendly friendly user' (frequency: 1)
'fine the best' (frequency: 1)
'convenient anytime,and so glad' (frequency: 1)
'easy access, great' (frequency: 1)
'look like a dummy' (frequency: 1)
'working fine after' (frequency: 1)
'works as it should' (frequency: 1)
'animation looks fab' (frequency: 1)
'chinese good hong' (frequency: 1)
'👍🏻 excellent very' (frequency: 1)
'signup was smooth' (frequency: 1)
'different and refresh look' (frequency: 1)
'look from traditional' (frequency: 1)
'amazing user experience' (frequency: 1)
